company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact
elie tahari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elis textil service ab,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
elpuente,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
elvang denmark a/s,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
elvis & kresse,90.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
encircled,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enda athletic inc.,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eneache sa,104.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
engelbert strauss gmbh & co. kg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
equo garantito,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eralda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ercado,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ermenegildo zegna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0
esgii,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
esperanza café,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
esprit,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0
etiko pty ltd,95.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
european fair trade association (efta),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
evea eco fashion,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
everlane,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
everybody & everyone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
express,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
eza fairer handel gmbh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faherty brands,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fair,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fair bazaar,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fair moms,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fair monkey ekonomisk förening,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fair trade,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fair trade advocacy office,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fair trade danmark,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fair trade scotland limited,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fair-band,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fair-netz (netzwerk regionaler fair-handelszentren e.v),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fairforward,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fairmail cards,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fairtrade czech republic and slovakia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
falabella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
fall-rush,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
famous footwear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
fanatics,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0
farfetch,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
