company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact,DottyRank
decathlon,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,1
decjuba pty ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
deckers outdoor corporation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
deichmann se,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
demarini sports (amer sports),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
demod deri konfeksiyon ltd. sti.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
denim expert  limited,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
denner ag,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
design nave co.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
desigual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1
deuter sport gmbh & co. kg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
dhana inc.,151.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
diam,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
diane von furstenberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
dick's sporting goods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0
diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1
dillards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0
dior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0
disney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0
dk company a/s,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
dkny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
dolce & gabbana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
dr. martens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0
dressmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,2
dsw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0
duffle & co,83.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
eagle creek,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
"eagles nest outfitters, inc. (eno)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
eastman exports global clothing pvt ltd,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
ebay inc.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
